"USER_ID","ACCOUNT_ID","PLATFORM","ACCOUNT_NAME","ADS_ID","ADS_NAME","CREATED_DATE","START_DATE","MODIFIED_DATE","END_DATE","CAMPAING_ID","CAMPAIGN_NAME","CURRENCY","AMOUNT_SPENT","REACH","IMPRESSIONS","FREQUENCY","CPM","LINK_CLICKS","CTR","POST_COMMENTS","POST_REACTIONS","POST_SHARES","VIDEO_VIEWS","THRUPLAYS","FULL_VIDEO_VIEW","EST_AD_RECALL_LIFT","EST_AD_RECALL_LIFT_RATE","ACTIVE_VIEW_MEASURABILITY","LANDINGPAGECLICKS","PAID_COMMENTS","PAID_LIKES","PAID_SHARES"
"","502412610","LINKEDIN","","637442713","","2023-05-30","2023-05-31","2023-05-30","2023-05-31","227229903","MOL - link clicks - LI - Provozovatelé - 2023","EUR","14.910","","345","","43.217","7","2.029","0","","0","","","","","","","7","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-05-28","2023-06-08","2023-05-28","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","7.890","","210","","37.571","2","0.952","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-06-03","2023-06-08","2023-06-03","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","8.460","","220","","38.455","1","0.455","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-21","2023-03-03","2023-02-21","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","17.160","","1200","","14.300","7","0.583","0","","0","","","","","","","7","","0",""
"","502412610","LINKEDIN","","637027153","","2023-05-18","2023-05-22","2023-06-01","2023-05-22","226531513","MOL - link clicks - LI - Provozovatel Chebsko - 05-06/2023","EUR","0.580","","12","","48.333","1","8.333","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","637442713","","2023-05-30","2023-06-09","2023-05-30","2023-06-09","227229903","MOL - link clicks - LI - Provozovatelé - 2023","EUR","13.790","","255","","54.078","3","1.176","0","","0","","","","","","","3","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-03-03","2023-03-03","2023-03-03","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","16.260","","856","","18.995","10","1.168","0","","0","","","","","","","10","","3",""
"","502412610","LINKEDIN","","636918943","","2023-05-16","2023-05-28","2023-05-30","2023-05-28","226333883","MOL - link clicks - LI - Provozovatel Jindřichohradecko - 05/2023","EUR","10.230","","68","","150.441","0","0.000","0","","0","","","","","","","0","","0",""
"","502412610","LINKEDIN","","635709853","","2023-04-13","2023-04-14","2023-04-27","2023-04-14","224253913","MOL - link clicks - LI - Provozovatel Brno - 04/2023","EUR","13.740","","381","","36.063","1","0.262","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","637296543","","2023-05-25","2023-06-04","2023-06-08","2023-06-04","226983983","MOL - link clicks - LI - Provozovatel Praha - 05-06/2023","EUR","9.730","","145","","67.103","2","1.379","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","635718203","","2023-04-13","2023-04-18","2023-04-27","2023-04-18","224272153","MOL - link clicks - LI - Provozovatel Velké Meziříčí - 04/2023","EUR","13.710","","312","","43.942","3","0.962","0","","0","","","","","","","3","","0",""
"","502412610","LINKEDIN","","636513323","","2023-05-05","2023-05-05","2023-05-19","2023-05-05","225664073","MOL - link clicks - LI - Provozovatel Kutná Hora - 05/2023","EUR","4.650","","48","","96.875","2","4.167","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","635718203","","2023-04-13","2023-04-15","2023-04-27","2023-04-15","224272153","MOL - link clicks - LI - Provozovatel Velké Meziříčí - 04/2023","EUR","7.940","","248","","32.016","4","1.613","0","","0","","","","","","","4","","0",""
"","502412610","LINKEDIN","","637442713","","2023-05-30","2023-06-08","2023-05-30","2023-06-08","227229903","MOL - link clicks - LI - Provozovatelé - 2023","EUR","14.880","","153","","97.255","2","1.307","0","","0","","","","","","","2","","0",""
"","502412610","LINKEDIN","","637442713","","2023-05-30","2023-06-10","2023-05-30","2023-06-10","227229903","MOL - link clicks - LI - Provozovatelé - 2023","EUR","6.890","","93","","74.086","1","1.075","0","","0","","","","","","","1","","0",""
"","502412610","LINKEDIN","","637027153","","2023-05-18","2023-05-31","2023-06-01","2023-05-31","226531513","MOL - link clicks - LI - Provozovatel Chebsko - 05-06/2023","EUR","17.700","","120","","147.500","3","2.500","0","","0","","","","","","","3","","0",""
"","502412610","LINKEDIN","","635709853","","2023-04-13","2023-04-17","2023-04-27","2023-04-17","224253913","MOL - link clicks - LI - Provozovatel Brno - 04/2023","EUR","12.720","","524","","24.275","5","0.954","0","","0","","","","","","","5","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-28","2023-03-03","2023-02-28","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","17.170","","827","","20.762","4","0.484","0","","0","","","","","","","4","","0",""
"","502412610","LINKEDIN","","636512763","","2023-05-05","2023-05-05","2023-05-19","2023-05-05","225663153","MOL - link clicks - LI - Provozovatel Pardubice - 05/2023","EUR","12.860","","245","","52.490","6","2.449","0","","1","","","","","","","6","","0",""
"","502412610","LINKEDIN","","635718203","","2023-04-13","2023-04-16","2023-04-27","2023-04-16","224272153","MOL - link clicks - LI - Provozovatel Velké Meziříčí - 04/2023","EUR","8.670","","158","","54.873","3","1.899","0","","0","","","","","","","3","","0",""
"","502412610","LINKEDIN","","634018653","","2023-02-21","2023-02-24","2023-03-03","2023-02-24","220963693","MOL - link clicks - LI - Provozovatel Praha - 02-03/2023","EUR","16.770","","895","","18.737","5","0.559","0","","0","","","","","","","5","","1",""
