"src_id","user_id","account_id","platform_id","account_name","ads_id","ads_name","created_date","start_date","modified_date","end_date","campaign_id","campaign_name","currency_id","spent_amount","reach","impressions","frequency","cpm","link_clicks","ctr","post_comments","post_reactions","post_shares","video_views","six_sec_video_view","full_video_view","est_ad_recall_lift","est_ad_recall_lift_rate","active_view_measurability","landing_page_clicks","paid_comments","paid_likes","paid_shares"
"FACEBOOK.23855705010990537.2023-07-18","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705010990537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-18","","2023-07-18","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","6.230","4660","5178","","1.203","54","1.043","","","","","","","","","","","","",""
"FACEBOOK.23857009983240537.2023-07-23","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23857009983240537","01 - FB+IG - 12. 7. - Carousel - Návod, jak vyhrát Mercedes-Benz CLA - DP 04","","2023-07-23","","2023-07-23","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","22.030","13536","22994","","0.958","133","0.578","","","","","","","","","","","","",""
"FACEBOOK.23856134223990537.2023-07-16","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856134223990537","01 - FB+IG - 3. 7. - Dynamic - Natankuj s MOL MOVE a vyhraj - DP 01","","2023-07-16","","2023-07-16","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","13.010","8794","10216","","1.273","89","0.871","","","","","","","","","","","","",""
"FACEBOOK.23855705100190537.2023-07-12","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705100190537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-12","","2023-07-12","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","4.770","3196","3614","","1.320","33","0.913","","","","","","","","","","","","",""
"FACEBOOK.23855704829810537.2023-07-23","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855704829810537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-23","","2023-07-23","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","5.030","3100","4045","","1.244","29","0.717","","","","","","","","","","","","",""
"FACEBOOK.23856134223990537.2023-07-09","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856134223990537","01 - FB+IG - 3. 7. - Dynamic - Natankuj s MOL MOVE a vyhraj - DP 01","","2023-07-09","","2023-07-09","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","4.560","3963","4509","","1.011","20","0.444","","","","","","","","","","","","",""
"FACEBOOK.23857009983240537.2023-07-21","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23857009983240537","01 - FB+IG - 12. 7. - Carousel - Návod, jak vyhrát Mercedes-Benz CLA - DP 04","","2023-07-21","","2023-07-21","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","20.270","11192","18637","","1.088","97","0.520","","","","","","","","","","","","",""
"FACEBOOK.23855705253800537.2023-07-11","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705253800537","12 - FB+IG - 22. 6. - Animace DP - Stáhni aplikaci a dostaneš kávu","","2023-07-11","","2023-07-11","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","19.670","15240","18328","","1.073","124","0.677","","","","","","","","","","","","",""
"FACEBOOK.23855704829810537.2023-07-01","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855704829810537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-01","","2023-07-01","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","8.160","6050","7819","","1.044","58","0.742","","","","","","","","","","","","",""
"FACEBOOK.23855705253800537.2023-07-15","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705253800537","12 - FB+IG - 22. 6. - Animace DP - Stáhni aplikaci a dostaneš kávu","","2023-07-15","","2023-07-15","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","17.240","11580","13730","","1.256","79","0.575","","","","","","","","","","","","",""
